id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
0;"The Legend of Zelda: Breath of the Wild";"Nintendo";1-1;Acción-Aventura;12;Switch;2017;"Embárcate en una épica aventura en el vasto mundo de Hyrule, resuelve puzles, derrota a enemigos y descubre la historia detrás de la leyenda."
1;"Red Dead Redemption 2";"Rockstar Games";1-32;Acción-Aventura;18;PS4, Xbox;2018;"Sumérgete en el salvaje oeste como Arthur Morgan, un forajido en una banda criminal, y vive una historia épica de honor y lealtad."
2;"The Witcher 3: Wild Hunt";"CD Projekt";1-1;RPG;18;PC, PS4, Xbox;2015;"Encarna a Geralt de Rivia, un cazador de monstruos, en una travesía épica en busca de su hija adoptiva en un mundo lleno de magia, criaturas y decisiones morales."
3;"Fortnite";"Epic Games";1-100;Battle Royale;12;PC, PS5, Xbox, Switch;2017;"Participa en frenéticas batallas en línea, construye estructuras y sé el último en pie en este popular juego de Battle Royale con constantes actualizaciones y eventos."
4;"Minecraft";"Mojang";1-4;Sandbox;7;PC, PS4, Xbox, Switch;2011;"Construye y explora tu propio mundo en este juego de sandbox, donde la creatividad es la clave para sobrevivir y prosperar en un universo pixelado infinito."
5;"Overwatch";"Blizzard Entertainment";1-6;FPS;12;PC, PS4, Xbox;2016;"Forma equipo con héroes únicos, cada uno con habilidades especiales, y participa en intensos enfrentamientos en línea en este juego de disparos por equipos."
6;"Animal Crossing: New Horizons";"Nintendo";1-4;Simulación;3;Switch;2020;"Crea tu propia isla paradisíaca, socializa con adorables personajes animales, pesca, caza insectos y personaliza tu entorno en este relajante juego de simulación."
7;"FIFA 22";"EA Sports";1-22;Deportes;3;PC, PS5, Xbox;2021;"Experimenta la emoción del fútbol con gráficos realistas, modos de juego emocionantes y la posibilidad de construir tu propio equipo en el juego de simulación de fútbol más popular."
8;"Cyberpunk 2077";"CD Projekt";1-1;RPG de acción;18;PC, PS4, Xbox;2020;"Explora Night City, una metrópolis futurista, como V, un mercenario en busca de inmortalidad, en este juego de rol de acción con una historia rica y decisiones impactantes."
9;"Among Us";"Innersloth";4-10;Multijugador en línea;7;PC, Android, iOS;2018;"Descubre al impostor entre la tripulación espacial o engaña a tus compañeros para lograr tus objetivos en este juego social de engaños y estrategia."
10;"Call of Duty: Warzone";"Infinity Ward";1-150;Battle Royale;18;PC, PS5, Xbox;2020;"Enfréntate en combates intensos en un enorme mapa de guerra, elige entre una variedad de armas y sé el último en pie en este juego de Battle Royale de la popular serie Call of Duty."
11;"League of Legends";"Riot Games";1-10;MOBA;12;PC;2009;"Forma equipo con otros jugadores y compite en intensas batallas de cinco contra cinco en este popular juego MOBA con un extenso elenco de campeones."
12;"Super Mario Odyssey";"Nintendo";1-2;Plataformas;7;Switch;2017;"Acompaña a Mario en una aventura global para salvar a la Princesa Peach, capturando enemigos y objetos con su gorra mágica, Cappy, en este colorido juego de plataformas."
13;"Apex Legends";"Respawn Entertainment";1-60;Battle Royale;16;PC, PS4, Xbox;2019;"Elige entre un elenco de leyendas con habilidades únicas, forma escuadrones y lucha por la victoria en este trepidante juego de Battle Royale en primera persona."
14;"World of Warcraft";"Blizzard Entertainment";1-40;MMORPG;12;PC;2004;"Adéntrate en el inmenso mundo de Azeroth, elige tu facción y clase, y embarca en épicas aventuras junto a jugadores de todo el mundo en este icónico MMORPG."
15;"Assassin's Creed Valhalla";"Ubisoft Montreal";1-1;Acción-Aventura;18;PC, PS5, Xbox;2020;"Vive la época vikinga como Eivor, un guerrero noruego, y lidera a tu clan en la conquista de Inglaterra en este juego de acción-aventura de la famosa serie Assassin's Creed."
16;"Rocket League";"Psyonix";1-4;Deportes;3;PC, PS4, Xbox, Switch;2015;"Combina el fútbol con coches impulsados por cohetes en este juego deportivo frenético, donde la habilidad y la estrategia son clave para marcar goles espectaculares."
17;"Doom Eternal";"id Software";1-1;FPS;18;PC, PS4, Xbox;2020;"Enfréntate a hordas de demonios infernales como el Doom Slayer, utiliza armas poderosas y vive una experiencia de acción frenética en este juego de disparos en primera persona."
18;"Tom Clancy's Rainbow Six Siege";"Ubisoft Montreal";1-10;FPS;18;PC, PS5, Xbox;2015;"Participa en intensos combates tácticos entre fuerzas especiales y terroristas, con un enfoque en estrategia y destrucción del entorno en tiempo real."
19;"The Elder Scrolls V: Skyrim";"Bethesda Game Studios";1-1;RPG;18;PC, PS4, Xbox;2011;"Explora la provincia de Skyrim, elige tu destino como el Sangre de Dragón, y vive aventuras épicas en este juego de rol de mundo abierto con un vasto y detallado mundo."
20;"Among Us";"Innersloth";4-10;Multijugador en línea;7;PC, Android, iOS;2018;"Descubre al impostor entre la tripulación espacial o engaña a tus compañeros para lograr tus objetivos en este juego social de engaños y estrategia."
21;"Cyberpunk 2077";"CD Projekt";1-1;RPG de acción;18;PC, PS4, Xbox;2020;"Explora Night City, una metrópolis futurista, como V, un mercenario en busca de inmortalidad, en este juego de rol de acción con una historia rica y decisiones impactantes."
22;"Sea of Thieves";"Rare";1-4;Acción-Aventura;12;PC, Xbox;2018;"Embárcate en emocionantes aventuras piratas, navega por mares abiertos, saquea islas y lucha contra criaturas marinas en este juego multijugador en línea."
23;"Hades";"Supergiant Games";1-1;Roguelike;12;PC, Switch;2020;"Desciende al Inframundo, mejora tus habilidades y enfrenta a los dioses del Olimpo en este roguelike de acción que combina narrativa cautivadora y jugabilidad desafiante."
24;"Final Fantasy VII Remake";"Square Enix";1-1;RPG de acción;16;PS4;2020;"Revive la épica historia de Cloud Strife en este remake del clásico JRPG, con combates en tiempo real y gráficos impresionantes que llevan la saga a nuevas alturas."
25;"Valorant";"Riot Games";1-5;FPS;16;PC;2020;"Participa en intensos combates tácticos en equipos, elige entre agentes con habilidades únicas y demuestra tu destreza en este juego de disparos en primera persona."
26;"The Last of Us Part II";"Naughty Dog";1-1;Acción-Aventura;18;PS4;2020;"Embárcate en un emotivo viaje en un mundo postapocalíptico, sigue la historia de Ellie y experimenta una narrativa inmersiva llena de giros inesperados."
27;"Star Wars Jedi: Fallen Order";"Respawn Entertainment";1-1;Acción-Aventura;16;PC, PS4, Xbox;2019;"Sigue la historia de Cal Kestis, un joven Jedi en fuga, y explora la galaxia en esta aventura de acción ambientada en el universo de Star Wars."
28;"Sekiro: Shadows Die Twice";"FromSoftware";1-1;Acción-Aventura;18;PC, PS4, Xbox;2019;"Embárcate en una intensa experiencia samurái, desafía a poderosos enemigos y descubre los secretos de un Japón feudal lleno de peligros."
